"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: null"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,,,
"","All ages",,,,,,,,,,,,
"Geography","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","Persons",,,,,,,,,,,,
"Chilliwack (CA), British Columbia","86,854","88,694","90,753","92,548","94,398","95,861","97,582","98,968","100,596","102,846","106,012","108,921","110,600"
"Abbotsford - Mission (CMA), British Columbia","164,477","166,354","168,561","170,762","172,753","174,307","176,538","178,494","180,639","183,938","189,021","193,317","196,007"
"Vancouver (CMA), British Columbia","2,188,743","2,216,948","2,253,672","2,301,469","2,344,847","2,374,641","2,419,030","2,459,664","2,507,757","2,544,799","2,582,146","2,610,605","2,650,005"
"Squamish (CA), British Columbia","15,781","16,102","16,629","17,052","17,487","17,979","18,388","18,928","19,566","20,189","20,915","21,511","21,881"
"Victoria (CMA), British Columbia","339,693","342,052","344,394","348,064","351,150","352,048","358,422","364,733","370,063","375,805","384,681","390,613","395,523"
"Duncan (CA), British Columbia","42,465","42,760","43,246","43,575","43,829","43,917","43,950","44,347","44,845","45,313","46,129","46,918","47,630"
"Nanaimo (CA), British Columbia","95,019","96,089","97,394","98,184","99,261","99,998","101,242","102,697","104,759","106,976","109,187","111,122","112,881"
"Parksville (CA), British Columbia","26,942","27,293","27,589","27,728","27,922","27,937","28,129","28,297","28,590","29,091","29,637","30,468","30,860"
"Port Alberni (CA), British Columbia","25,955","25,877","25,932","25,996","26,003","25,838","25,663","25,515","25,540","25,691","26,045","26,257","26,720"
"Courtenay (CA), British Columbia","49,788","50,551","51,331","51,596","52,010","52,521","53,052","53,296","53,892","55,003","56,067","57,223","58,085"
"Campbell River (CA), British Columbia","35,677","36,038","36,407","36,489","36,601","36,726","36,994","37,381","37,857","38,488","39,398","40,166","40,848"
"Powell River (CA), British Columbia","16,894","17,038","17,093","17,019","16,989","16,882","16,862","16,955","17,045","17,072","17,341","17,448","17,626"
"Williams Lake (CA), British Columbia","19,327","19,384","19,432","19,209","18,987","18,840","18,854","18,809","19,035","18,978","19,052","19,027","19,144"
"Quesnel (CA), British Columbia","23,096","23,474","23,827","23,870","23,954","23,969","23,962","23,933","23,851","23,924","24,057","24,134","24,274"
"Prince Rupert (CA), British Columbia","13,743","13,654","13,658","13,545","13,466","13,307","13,302","13,292","13,288","13,297","13,243","13,326","13,354"
"Terrace (CA), British Columbia","15,845","15,847","15,974","16,056","15,976","15,872","15,969","16,129","16,335","16,372","16,406","16,437","16,496"
"Prince George (CA), British Columbia","85,933","86,694","86,682","85,902","85,890","86,231","86,846","87,834","88,552","89,460","90,621","91,985","92,792"
"Dawson Creek (CA), British Columbia","11,389","11,643","11,712","11,808","11,801","11,889","12,185","12,350","12,557","12,722","12,813","13,021","13,068"
"Fort St. John (CA), British Columbia","26,195","26,565","26,702","26,879","26,902","27,270","28,316","28,890","29,557","29,882","29,812","29,884","29,957"
"Whitehorse (CA), Yukon","24,354","24,624","25,119","25,694","26,483","27,228","28,055","28,337","28,972","29,554","30,323","31,224","31,924"
"Yellowknife (CA), Northwest Territories","19,567","19,678","19,791","19,733","19,828","20,033","20,199","20,243","20,307","20,660","21,007","21,405","21,334"


Footnotes:
1,Population estimates based on the Standard Geographical Classification (SGC) 2016 as delineated in the 2016 Census.
2,"A census metropolitan area (CMA) or a census agglomeration (CA) is formed by one or more adjacent municipalities centred on a population centre (known as the core). A CMA must have a total population of at least 100,000 of which 50,000 or more must live in the core based on adjusted data from the previous Census of Population Program. A CA must have a core population of at least 10,000 also based on data from the previous Census of Population Program. To be included in the CMA or CA, other adjacent municipalities must have a high degree of integration with the core, as measured by commuting flows derived from data on place of work from the previous Census Program. If the population of the core of a CA falls below 10,000, the CA is retired from the next census. However, once an area becomes a CMA, it is retained as a CMA even if its total population declines below 100,000 or the population of its core falls below 50,000. All areas inside the CMA or CA that are not population centres are rural areas.  When a CA has a core of at least 50,000, based on data from the previous Census of Population, it is subdivided into census tracts. Census tracts are maintained for the CA even if the population of the core subsequently falls below 50,000. All CMAs are subdivided into census tracts (2016 Census Dictionary, catalogue number 98-301-X2016001)."
3,Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated Indian reserves) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the considered year.
4,"Preliminary postcensal population estimates for census metropolitan areas (CMAs) and census agglomerations (CAs) in British Columbia were prepared by BC Stats. They were produced using a regression model based upon changes in residential electrical (hydro) connections and Ministry of Health Client Registry counts. These estimates were adjusted to Statistics Canada's provincial estimates. Please note that for this specific case, the sum of components does not equal the population growth for preliminary data."
5,"Population estimates as of July 1 are final intercensal from 2006 to 2015, final postcensal for 2016, updated postcensal for 2017 and preliminary postcensal for 2018."
6,"The population growth, which is used to calculate population estimates of census metropolitan areas and census agglomerations (table 17100135), is comprised of the components of population growth (table 17100136)."
7,This table replaces table 17100078.
8,Age on July 1.

"How to cite: Statistics Canada. Table null Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710013501
